# ,Skx,Sky,RMSx,RMSy,Kx,Ky,CFx,CFy,P2Px,P2Py,filename
22322.0,-0.6614197929299983,-0.22556606801039933,7.2825536111005045,2.587572944305105,-0.6136481661277435,-0.9122820523414465,2.193210081646946,2.2008886793061544,31.986330000000002,12.07031,_20_07_06_10_49_16_1400.txt
22323.0,-0.666050654289655,-0.3613150992286318,7.302344051255577,2.589374000690333,-0.6205336613727064,-0.8711220696357529,2.1872661556194024,2.0960201185896854,31.9961,11.75195,_20_07_06_10_50_08_1400.txt
22324.0,-0.6456557537488556,-0.35894343684855406,7.334827243003042,2.6245403051998992,-0.5946902999956571,-0.8659553399985147,2.177579576292875,2.0195650985044753,31.99414,11.51758,_20_07_06_10_51_00_1400.txt
22325.0,-0.5992445569334459,-0.20796077409459018,7.157131317962097,2.654544702063683,-0.7626505569409265,-0.8730010132517467,2.2316441169543713,2.095331073413795,31.99024,11.82813,_20_07_06_10_52_17_1400.txt
22326.0,-0.6274341188048834,-0.22082581284738512,7.216407672304,2.6191978626012107,-0.6858408835732046,-0.9214169531915588,2.213313150433549,2.0773726482031853,31.99024,11.78906,_20_07_06_10_53_08_1400.txt
22327.0,-0.655807570142157,-0.34089954646273135,7.3634633098257805,2.6238861737581893,-0.611285574488357,-0.9216010692497476,2.169111100029084,2.0066686019609454,31.99805,11.73437,_20_07_06_10_54_00_1400.txt
22328.0,-0.6801527893573387,-0.2546013591081473,7.19184284907395,2.632984234925287,-0.6704270750812622,-0.9894416811660425,2.2208730550969475,2.039791932196054,31.986330000000002,11.4707,_20_07_06_10_55_19_1400.txt
22329.0,-0.6453498312015522,-0.33334911886325735,7.488657048097633,2.660767087970454,-0.6374837622152141,-0.9859854710983078,2.1328483728677976,2.1564946537190917,31.9961,11.9668,_20_07_06_10_56_12_1400.txt
22330.0,-0.6242729388656497,-0.3812916178979921,7.614899551969083,2.743990197787884,-0.625594267139598,-0.9613787865063594,2.097489256554917,2.0014065664036784,31.9961,11.923829999999999,_20_07_06_10_57_04_1400.txt
22331.0,-0.6134889594125493,-0.35455846186847273,7.477115673545156,2.7170412442717518,-0.6365510666179093,-0.9810838338887433,2.1361405516984666,2.0341943692067135,31.9961,12.01953,_20_07_06_10_58_22_1400.txt
22332.0,-0.5583109222734064,-0.4431076519167336,7.664453235006718,2.6956145903646056,-0.5979123833794988,-0.9920959772655378,2.0839281694679164,2.0626835972303943,31.99805,11.95313,_20_07_06_10_59_13_1400.txt
22333.0,-0.5829852955384623,-0.4234041992635313,7.727674467084849,2.691288906747832,-0.6049079240487676,-1.0051780280418974,2.0668792491236068,2.0768821905316623,31.99805,11.94922,_20_07_06_11_00_06_1400.txt
22334.0,-0.6415746943195985,-0.297641654169375,7.381644991532924,2.6817563212598157,-0.6660298839118961,-1.0322590273190204,2.163768376604509,2.022361225367485,31.99805,11.67774,_20_07_06_11_01_22_1400.txt
22335.0,-0.5866328181390629,-0.27511463776132233,7.485353518150963,2.721149897117029,-0.732276456852412,-0.9567045557882325,2.133789668219365,2.100027641275594,31.980469999999997,12.06445,_20_07_06_11_02_13_1400.txt
22336.0,-0.6204171280402259,-0.4435198810455008,7.6136228601318106,2.6672647879579805,-0.6579774568535841,-0.9919923104799686,2.0978409744508255,1.8956835567386703,31.9961,11.361329999999999,_20_07_06_11_03_05_1400.txt
22337.0,-0.6519185546139986,-0.343800636688307,7.285670290531362,2.6804396036975295,-0.7124677605252723,-0.968385793681851,2.192271865604161,2.067802606838908,31.99805,11.87696,_20_07_06_11_04_22_1400.txt
22338.0,-0.5694251890524538,-0.40743519262632305,7.54803455550171,2.676107678478011,-0.6017664410332326,-0.963101986290559,2.116070068645618,2.136106123820522,31.99805,12.2461,_20_07_06_11_05_13_1400.txt
22339.0,-0.5540165992219166,-0.42663596683622224,7.308007134595405,2.5971292036001135,-0.5887120856126238,-1.0139075164682072,2.185571210568375,2.0032773081862754,31.988280000000003,11.669920000000001,_20_07_06_11_06_05_1400.txt
22340.0,-0.6298938881117333,-0.38579705680587345,7.026443187453346,2.5535653372019738,-0.7064610780224707,-1.0365145243693261,2.2731515183272877,1.8867776476317828,31.97461,10.96875,_20_07_06_11_07_24_1400.txt
22341.0,-0.5801637143598505,-0.5096620056387803,7.323069038423708,2.5557239924739608,-0.6524748998396972,-0.9844905117952494,2.181075982787404,1.9967570891957316,31.99024,11.3457,_20_07_06_11_08_16_1400.txt
22342.0,-0.5332151548100651,-0.42533429987647614,7.271808969529562,2.5612272225604173,-0.6476034215740527,-1.0095756535944789,2.196450713560658,2.0397487399721577,31.99414,11.64649,_20_07_06_11_09_08_1400.txt
22343.0,-0.5997977470264264,-0.46604875729174566,7.235330052249945,2.557391858761553,-0.6046737685456711,-0.9470610177765599,2.2075247272283303,1.9167926820467185,31.99024,11.07617,_20_07_06_11_10_01_1400.txt
22344.0,-0.6460788001708061,-0.4350077698976253,7.157484775538695,2.5617584097091726,-0.6740291202627091,-0.9594536645148422,2.2315339118269915,2.110991411018315,31.99219,11.51562,_20_07_06_11_11_20_1400.txt
22345.0,-0.6300798690160422,-0.37186920574069965,7.092236632049025,2.565693657030747,-0.6719630813023714,-0.9737261052292454,2.252063887409445,2.1184134688511898,31.988280000000003,11.8086,_20_07_06_11_12_12_1400.txt
22346.0,-0.581106456490827,-0.4961436683932052,7.32683614372321,2.5555870751939174,-0.5946275271797745,-1.0005427628297598,2.179954578850943,2.0801678219462034,31.99805,11.5,_20_07_06_11_13_04_1400.txt
22347.0,-0.6283561660160414,-0.44320995828222615,7.179166700885293,2.5677310578578667,-0.7108530021539989,-0.9215425137080651,2.2247944177184804,1.9280913337280068,31.99414,11.13672,_20_07_06_11_14_24_1400.txt
22348.0,-0.5688008709304118,-0.44526237717633554,7.275829101046517,2.5506197062520064,-0.6506411187810306,-1.0053099008648114,2.195237103315504,1.90350603349424,31.99805,11.078130000000002,_20_07_06_11_15_17_1400.txt
22349.0,-0.5612055385929929,-0.5258939244237744,7.32407876621436,2.5789666147219164,-0.6211938370387644,-0.9280915169966022,2.1807752906316202,2.1347736603382303,31.9961,11.8125,_20_07_06_11_16_10_1400.txt
22350.0,-0.591746158457462,-0.4728887594444364,7.3296474254549935,2.5700789761600538,-0.6412077446357305,-0.9322175121057876,2.179118458621973,1.959005947561377,31.97656,11.964839999999999,_20_07_06_11_17_03_1400.txt
22351.0,-0.5954628524288809,-0.20057073013661417,7.260944635122761,2.4904066012285844,-0.7744833355203466,-1.0302338037934582,2.199737197105065,2.1330452615164823,31.99805,10.86719,_20_07_06_12_18_46_1400.txt
22352.0,-0.58877447662256,-0.4062217904284506,7.4364074905123445,2.4915362202548494,-0.6080599949777619,-0.9348592722149718,2.1478341551855396,2.302186078359836,31.99805,11.746099999999998,_20_07_06_12_19_12_1400.txt
22353.0,-0.5595777539441049,-0.37113670988592923,7.595700036529553,2.656178772347822,-0.6527958423642115,-0.9704203299205956,2.1027910427196947,2.1241906074766113,31.99805,12.35547,_20_07_06_12_20_04_1400.txt
22354.0,-0.554532223305588,-0.44803314894109353,7.626238241882928,2.68816637086193,-0.6528107998488646,-0.9841738358225349,2.0943707098319617,2.019718741686045,31.99219,11.83399,_20_07_06_12_21_22_1400.txt
22355.0,-0.5596948683795091,-0.2663966751747048,7.412420057680365,2.7186699226989637,-0.7751032518423422,-1.0683834120507028,2.1547847903533834,2.0401594006284087,31.99024,11.77929,_20_07_06_12_22_15_1400.txt
22356.0,-0.5630871392682478,-0.3617519216994935,7.467496058346483,2.677694728780034,-0.7453477379963034,-1.0483139238632515,2.138892324174416,2.0538749025008007,31.99414,11.99024,_20_07_06_12_23_06_1400.txt
22357.0,-0.49892578344061317,-0.42278720007948073,7.422552170145839,2.606216889747283,-0.6701804734288186,-1.0873077314720268,2.1518434136766973,1.9992925456427593,31.986330000000002,11.41016,_20_07_06_12_24_24_1400.txt
22358.0,-0.5171633814293555,-0.3999358810544103,7.3497235054005206,2.569597774813393,-0.73596368002775,-1.0969756654023324,2.1731661045839035,2.096191883724356,31.978520000000003,11.49024,_20_07_06_12_25_16_1400.txt
